Season,Gameweek,Matches,ModelCorrect,ModelAccuracyPct,ModelLogLoss,ModelBrier,ExactScores,HomeGoalMAE,AwayGoalMAE,TotalGoalMAE,AlwaysHomeAccuracyPct,HistoricalMajorityAccuracyPct,HistoricalFrequencyAccuracyPct,HistoricalFrequencyLogLoss,HistoricalFrequencyBrier,PredictedDraws,ActualDraws,ModalOneOnePredictions,ActualOneOneResults,ColdStartMatches,ColdStartCorrect,ColdStartAccuracyPct
2026/27,1,10,5,50.0,1.0212039496384189,0.6109045999999999,0,0.913,1.001,0.892,70.0,70.0,70.0,0.9435461926114532,0.5603617728531856,0,1,8,0,3,1,33.33333333333333
2026/27,2,10,5,50.0,1.0615060962553482,0.6377613,2,1.213,0.817,1.876,30.0,30.0,30.0,1.1311052773781662,0.6902565096952908,0,3,8,2,2,1,50.0
2026/27,3,10,3,30.0,1.1207569509902833,0.6760236999999999,2,0.8089999999999999,0.7859999999999999,1.553,20.0,20.0,20.0,1.2506029468243822,0.762993351800554,0,6,7,2,3,2,66.66666666666666
2026/27,4,10,3,30.0,1.1290756917097913,0.6874463000000001,0,1.107,1.0819999999999999,1.7130000000000003,10.0,10.0,10.0,1.224884819761523,0.7552038781163435,0,4,10,0,3,1,33.33333333333333
